HoleID,depth,depth_end,min1,min2,min3
DH03,11.03,11.27,0.13,,85.00
DH03,11.27,12.01,0.08,,230.00
DH03,12.01,13.00,0.04,,200.00
DH03,13.00,14.00,0.04,,350.00
DH03,14.00,15.00,0.17,,440.00
DH03,15.00,16.00,0.45,,330.00
DH03,16.00,17.00,0.11,,900.00
DH03,17.00,18.00,0.13,,6400.00
DH03,18.00,19.00,0.11,,4780.00
DH03,19.00,20.00,0.08,,380.00
DH03,20.00,21.00,0.12,,450.00
DH03,21.00,22.00,0.11,,420.00
DH03,22.00,23.00,0.08,,61.00
DH03,23.00,24.00,0.06,,106.00
DH03,24.00,25.00,0.07,,67.00
DH03,25.00,26.00,0.07,,340.00
DH03,26.00,27.00,0.06,,81.00
DH03,27.00,28.00,0.14,,184.00
DH03,28.00,28.50,0.50,,162.00
DH03,28.50,29.50,1.02,,128.00
DH03,29.50,30.00,0.11,,56.00
DH03,30.00,31.00,0.07,,54.00
DH03,31.00,32.00,0.09,,84.00
DH03,32.00,33.00,0.02,,108.00
DH03,33.00,34.00,0.03,,29.00
DH03,34.00,35.00,0.04,,39.00
DH03,35.00,36.00,0.03,,31.00
DH03,36.00,37.00,0.08,,320.00
DH03,37.00,38.00,0.01,,59.00
DH03,38.00,39.00,0.66,,230.00
DH03,39.00,40.00,0.24,,102.00
DH03,40.00,41.00,0.06,,54.00
DH03,41.00,42.00,0.08,,120.00
DH03,42.00,43.00,0.08,,360.00
DH03,43.00,43.21,0.28,,840.00
DH03,43.21,43.71,0.34,,63.00
DH03,43.71,44.00,0.27,,193.00
DH03,44.00,45.00,0.08,,117.00
DH03,45.00,46.00,0.07,,34.00
DH03,46.00,47.00,0.09,,154.00
DH03,47.00,48.00,0.11,,44.00
DH03,48.00,49.00,0.03,,27.00
DH03,49.00,50.00,0.03,,13.00
DH03,50.00,51.00,0.04,,20.00
DH03,51.00,52.00,0.19,,44.00
DH03,52.00,53.00,0.04,,31.00
DH03,53.00,54.00,0.02,,24.00
DH03,54.00,55.00,0.02,,37.00
DH03,55.00,56.00,0.05,,210.00
DH03,56.00,57.00,0.03,,28.00
DH03,57.00,58.00,0.05,,41.00
DH03,58.00,59.00,0.02,,77.00
DH03,59.00,60.00,0.04,,70.00
DH03,60.00,61.00,0.03,,102.00
DH03,61.00,62.00,0.07,,159.00
DH03,62.00,63.00,0.23,,160.00
DH03,63.00,64.00,0.03,,37.00
DH03,64.00,65.00,0.02,,32.00
DH03,65.00,66.00,0.07,,66.00
DH03,66.00,67.00,0.05,,22.00
DH03,67.00,68.00,0.16,,91.00
DH03,68.00,69.00,0.09,,22.00
DH03,69.00,70.00,0.20,,19.00
DH03,70.00,71.00,0.02,,14.00
DH03,71.00,72.00,0.05,,21.00
DH03,72.00,73.00,0.67,,67.00
DH03,73.00,74.00,0.15,,76.00
DH03,74.00,75.00,0.07,,38.00
DH03,75.00,76.00,0.02,,31.00
DH03,76.00,77.00,0.04,,36.00
DH03,77.00,78.00,0.28,,121.00
DH03,78.00,79.00,0.04,,26.00
DH03,79.00,79.70,0.02,,59.00
DH03,79.70,80.70,1.39,,74.00
DH03,80.70,81.00,0.06,,37.00
DH03,81.00,82.00,0.17,,39.00
DH03,82.00,83.00,0.17,,106.00
DH03,83.00,84.00,0.08,,250.00
DH03,84.00,85.00,0.07,,20.00
DH03,85.00,86.00,0.03,,53.00
DH03,86.00,87.00,0.21,,70.00
DH03,87.00,88.00,0.32,,22.00
DH03,88.00,89.00,0.11,,43.00
DH03,89.00,90.00,0.17,,138.00
DH03,90.00,91.00,0.06,,74.00
DH03,91.00,92.00,0.36,,250.00
DH03,92.00,92.30,1.14,,350.00
DH03,92.30,93.00,0.04,,131.00
DH03,93.00,94.00,0.04,,84.00
DH03,94.00,95.00,0.04,,30.00
DH03,95.00,96.00,0.51,,360.00
DH03,96.00,97.00,0.05,,76.00
DH03,97.00,98.00,0.21,,75.00
DH03,98.00,99.00,0.28,,500.00
DH03,99.00,100.00,0.09,,81.00
DH03,100.00,101.00,1.36,,59.00
DH03,101.00,102.00,0.12,,53.00
DH03,102.00,103.00,0.18,,121.00
DH03,103.00,104.00,0.11,,158.00
DH03,104.00,105.00,0.05,,38.00
DH03,105.00,106.00,0.04,,60.00
DH03,106.00,107.00,0.15,,270.00
DH03,107.00,108.00,0.04,,72.00
DH03,108.00,108.50,0.18,,63.00
DH03,108.50,109.07,0.03,,40.00
DH03,109.07,109.30,1.50,,21.00
DH03,109.30,110.00,0.07,,47.00
DH03,110.00,111.00,0.43,,175.00
DH03,111.00,112.00,0.08,,109.00
DH03,112.00,113.00,0.10,,59.00
DH03,113.00,114.00,0.29,,118.00
DH03,114.00,115.00,0.41,,120.00
DH03,115.00,116.00,0.09,,161.00
DH03,116.00,117.00,0.09,,48.00
DH03,117.00,118.00,0.11,,91.00
DH03,118.00,119.00,0.13,,158.00
DH03,119.00,120.00,0.03,,21.00
DH03,120.00,121.00,0.24,,60.00
DH03,121.00,122.00,0.06,,63.00
DH03,122.00,123.00,0.06,,59.00
DH03,123.00,124.00,0.02,,35.00
DH03,124.00,125.00,0.45,,97.00
DH03,125.00,125.73,0.18,,183.00
DH03,125.73,125.95,0.14,,36.00
DH03,125.95,126.68,1.14,,59.00
DH03,126.68,127.00,0.05,,51.00
DH03,127.00,128.00,0.47,,1280.00
DH03,128.00,129.00,0.10,,490.00
DH03,129.00,130.00,0.05,,41.00
DH03,130.00,131.00,0.18,,18.00
DH03,131.00,132.00,0.94,,19.00
DH03,132.00,133.00,0.07,,23.00
DH03,133.00,133.40,2.72,,2390.00
DH03,133.40,133.60,17.75,,2580.00
DH03,133.60,134.00,0.44,,3070.00
DH03,134.00,135.00,0.37,,90.00
DH03,135.00,136.00,0.14,,91.00
DH03,136.00,137.00,0.44,,48.00
DH03,137.00,138.00,0.04,,72.00
DH03,138.00,139.00,0.02,,103.00
DH03,139.00,140.00,0.02,,52.00
DH03,140.00,141.00,0.01,,47.00
DH03,141.00,142.00,0.17,,280.00
DH03,142.00,143.00,0.03,,65.00
DH03,143.00,144.00,0.03,,33.00
DH03,144.00,145.00,0.47,,126.00
DH03,145.00,146.00,0.66,,133.00
DH03,146.00,147.00,0.03,,17.00
DH03,147.00,148.00,0.14,,510.00
DH03,148.00,149.00,0.22,,146.00
DH03,149.00,150.00,0.04,,24.00
DH03,150.00,151.00,0.41,,270.00
DH03,151.00,152.00,0.22,,50.00
DH03,152.00,153.00,0.65,,470.00
DH03,153.00,154.00,0.07,,48.00
DH03,154.00,155.00,0.16,,240.00
DH03,155.00,156.00,0.06,,62.00
DH03,156.00,156.50,0.32,,250.00
DH03,156.50,157.50,1.02,,620.00
DH03,157.50,158.00,0.04,,21.00
DH03,158.00,159.00,0.72,,141.00
DH03,159.00,159.90,0.09,,47.00
DH03,159.90,160.30,0.16,,147.00
DH03,160.30,161.00,0.37,,56.00
DH03,161.00,162.00,0.05,,47.00
DH03,162.00,163.00,0.26,,51.00
DH03,163.00,164.00,0.05,,93.00
DH03,164.00,165.00,0.09,,48.00
DH03,165.00,166.00,0.05,,37.00
DH03,166.00,167.00,0.23,,119.00
DH03,167.00,168.00,0.31,,70.00
DH03,168.00,169.00,0.10,,68.00
DH03,169.00,170.00,0.11,,39.00
DH03,170.00,171.00,0.08,,100.00
DH03,171.00,172.00,0.08,,39.00
DH03,172.00,173.00,0.09,,158.00
DH03,173.00,174.00,0.97,,75.00
DH03,174.00,175.00,0.08,,44.00
DH03,175.00,175.26,0.13,,58.00
DH03,175.26,175.46,0.09,,25.00
DH03,175.46,176.00,0.12,,66.00
DH03,176.00,177.00,0.10,,240.00
DH03,177.00,178.00,0.29,,230.00
DH03,178.00,179.00,0.12,,240.00
DH03,179.00,180.00,0.05,,38.00
DH03,180.00,180.20,0.05,,90.00
DH03,7.93,8.30,1.56,,270.00
DH03,8.30,9.00,1.88,,73.00
